Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared
120p,Traffic1,K3,A0.001_,T0.7,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.001_\T0.7\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.7204,0.1309,0.8719,0.8665,0.0086,0.8815,5
120p,Traffic1,K3,A0.001_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.001_\T0.9\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7349,0.1374,0.9172,0.8359,0.014,0.8521,5
120p,Traffic1,K3,A0.001_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.001_\T0.9\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7409,0.1403,0.9278,0.8732,0.0093,0.8882,5
120p,Traffic1,K3,A0.001_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.001_\T0.9\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.7582,0.1451,0.9417,0.8893,0.008,0.9128,5
120p,Traffic1,K3,A0.01_,T0.5,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.5\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7002,0.1253,0.8703,0.8048,0.0154,0.789,5
120p,Traffic1,K3,A0.01_,T0.5,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.5\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7312,0.1379,0.9291,0.8634,0.0114,0.879,5
120p,Traffic1,K3,A0.01_,T0.5,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.5\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.739,0.1397,0.942,0.8772,0.0107,0.9038,5
120p,Traffic1,K3,A0.01_,T0.7,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.7\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7271,0.1352,0.9091,0.8315,0.0147,0.8479,5
120p,Traffic1,K3,A0.01_,T0.7,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.7\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7407,0.1406,0.9484,0.8734,0.0097,0.8834,5
120p,Traffic1,K3,A0.01_,T0.7,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.7\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.7513,0.1433,0.9652,0.8882,0.0085,0.9071,5
120p,Traffic1,K3,A0.01_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.9\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.7424,0.1403,0.9305,0.8554,0.0102,0.8628,5
120p,Traffic1,K3,A0.01_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.9\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\120p\Traffic1\Traffic1-Mask.mp4,0.7441,0.1431,0.9652,0.8906,0.0078,0.9037,5
120p,Traffic1,K3,A0.01_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.01_\T0.9\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\120p\Traffic1\Traffic1-Mask.mp4,0.7627,0.1478,0.9843,0.9069,0.0064,0.9251,5
120p,Traffic1,K3,A0.1_,T0.5,M3,Data-Processing\Raw-Data\Param-Sweep\120p\Traffic1\K3\A0.1_\T0.5\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\120p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\120p\Traffic1\Traffic1-Mask.mp4,0.716,0.1329,0.8866,0.8487,0.0093,0.8372,5
