Resolution,Traffic,K,A,T,M,ParamSweep Path,OpenCV Path,Otsu Path,SSIM OpenCV AVG,SSIM OpenCV Var,SSIM OpenCV Med,SSIM Otsu AVG,SSIM Otsu Var,SSIM Otsu Med,Frames Compared,Traffic Video,Method
240p,Traffic1,K3,A0.01_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic1\K3\A0.01_\T0.9\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\240p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\240p\Traffic1\Traffic1-Mask.mp4,0.9168,0.0034,0.9231,0.8504,0.0023,0.8534,500,Traffic1,OpenCV
240p,Traffic2,K4,A0.01_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic2\K4\A0.01_\T0.9\M4\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\240p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\240p\Traffic2\Traffic2-Mask.mp4,0.8938,0.0106,0.9065,0.815,0.0031,0.8181,500,Traffic2,OpenCV
240p,Traffic3,K3,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic3\K3\A0.1_\T0.9\M4\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\240p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\240p\Traffic3\Traffic3-Mask.mp4,0.9055,0.0026,0.8945,0.8178,0.0026,0.8075,500,Traffic3,OpenCV
240p,Traffic4,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic4\K4\A0.1_\T0.9\M4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\240p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\240p\Traffic4\Traffic4-Mask.mp4,0.7995,0.0175,0.8056,0.6846,0.0116,0.6499,250,Traffic4,OpenCV
240p,Traffic5,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic5\K4\A0.1_\T0.9\M4\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\240p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\240p\Traffic5\Traffic5-Mask.mp4,0.9653,0.0022,0.9718,0.8732,0.0005,0.8685,500,Traffic5,OpenCV
240p,Traffic1,K3,A0.01_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic1\K3\A0.01_\T0.9\M5\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\240p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\240p\Traffic1\Traffic1-Mask.mp4,0.9368,0.0029,0.9427,0.8637,0.0021,0.8661,500,Traffic1,OpenCV
240p,Traffic2,K4,A0.01_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic2\K4\A0.01_\T0.9\M5\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\240p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\240p\Traffic2\Traffic2-Mask.mp4,0.9167,0.0087,0.9332,0.8648,0.0032,0.8677,500,Traffic2,OpenCV
240p,Traffic3,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic3\K4\A0.1_\T0.9\M5\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\240p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\240p\Traffic3\Traffic3-Mask.mp4,0.9352,0.0023,0.9326,0.8967,0.0008,0.897,500,Traffic3,OpenCV
240p,Traffic4,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic4\K4\A0.1_\T0.9\M5\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\240p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\240p\Traffic4\Traffic4-Mask.mp4,0.8685,0.0119,0.8974,0.757,0.0086,0.7271,500,Traffic4,OpenCV
240p,Traffic5,K4,A0.1_,T0.9,M5,Data-Processing\Raw-Data\Param-Sweep\240p\Traffic5\K4\A0.1_\T0.9\M5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M5\240p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M5\240p\Traffic5\Traffic5-Mask.mp4,0.9789,0.002,0.9833,0.8808,0.0006,0.875,500,Traffic5,OpenCV
360p,Traffic1,K3,A0.01_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic1\K3\A0.01_\T0.9\M3\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\360p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\360p\Traffic1\Traffic1-Mask.mp4,0.9315,0.0031,0.9389,0.8415,0.0027,0.8457,500,Traffic1,OpenCV
360p,Traffic2,K4,A0.01_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic2\K4\A0.01_\T0.9\M3\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\360p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\360p\Traffic2\Traffic2-Mask.mp4,0.8931,0.0146,0.9139,0.6906,0.0055,0.7002,500,Traffic2,OpenCV
360p,Traffic3,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic3\K4\A0.1_\T0.9\M3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\360p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\360p\Traffic3\Traffic3-Mask.mp4,0.8555,0.0035,0.8414,0.6393,0.007,0.6136,500,Traffic3,OpenCV
360p,Traffic4,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic4\K4\A0.1_\T0.9\M3\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\360p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\360p\Traffic4\Traffic4-Mask.mp4,0.6166,0.0291,0.6007,0.5447,0.0149,0.5071,250,Traffic4,OpenCV
360p,Traffic5,K4,A0.1_,T0.9,M3,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic5\K4\A0.1_\T0.9\M3\Traffic5-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M3\360p\Traffic5\Traffic5-Mask.mp4,Data-Processing\Raw-Data\Otsu\M3\360p\Traffic5\Traffic5-Mask.mp4,0.9451,0.0028,0.9553,0.875,0.0004,0.8712,500,Traffic5,OpenCV
360p,Traffic1,K3,A0.01_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic1\K3\A0.01_\T0.9\M4\Traffic1-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\360p\Traffic1\Traffic1-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\360p\Traffic1\Traffic1-Mask.mp4,0.9274,0.0031,0.9354,0.8582,0.0021,0.8624,500,Traffic1,OpenCV
360p,Traffic2,K4,A0.01_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic2\K4\A0.01_\T0.9\M4\Traffic2-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\360p\Traffic2\Traffic2-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\360p\Traffic2\Traffic2-Mask.mp4,0.9021,0.0096,0.9152,0.793,0.0027,0.7955,500,Traffic2,OpenCV
360p,Traffic3,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic3\K4\A0.1_\T0.9\M4\Traffic3-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\360p\Traffic3\Traffic3-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\360p\Traffic3\Traffic3-Mask.mp4,0.8986,0.0026,0.8849,0.7641,0.0042,0.7386,500,Traffic3,OpenCV
360p,Traffic4,K4,A0.1_,T0.9,M4,Data-Processing\Raw-Data\Param-Sweep\360p\Traffic4\K4\A0.1_\T0.9\M4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\OpenCV\M4\360p\Traffic4\Traffic4-Mask.mp4,Data-Processing\Raw-Data\Otsu\M4\360p\Traffic4\Traffic4-Mask.mp4,0.7459,0.0199,0.734,0.6422,0.0128,0.6087,250,Traffic4,OpenCV
