Best Settings Category,Category,Use Object Detection,Refresh Index,Resolution,Traffic Video,K,A,T,M,Raw Size (Bytes),Compressed Size (Bytes)
Best-OpenCV-Settings,Category-NA,False,20,120p,Traffic5,4,0.1,0.9,5,670191,449415
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic1,3,0.01,0.9,3,4026900,3981742
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic1,3,0.01,0.9,4,4026900,3918148
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic1,3,0.01,0.9,5,4026900,3880540
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic3,3,0.1,0.9,4,3734983,1833416
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic2,4,0.01,0.9,3,9326828,9233927
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic3,4,0.01,0.9,3,3734983,3489808
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic2,4,0.01,0.9,4,9326828,8677598
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic2,4,0.01,0.9,5,9326828,8555478
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic4,4,0.1,0.9,3,3603704,1629952
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic5,4,0.1,0.9,3,2681853,1991568
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic4,4,0.1,0.9,4,3603704,1243722
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic5,4,0.1,0.9,4,2681853,1731650
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic3,4,0.1,0.9,5,3734983,1816071
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic4,4,0.1,0.9,5,3603704,1247310
Best-OpenCV-Settings,Category-NA,False,20,240p,Traffic5,4,0.1,0.9,5,2681853,1738338
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic1,3,0.01,0.9,3,7708502,7481811
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic1,3,0.01,0.9,4,7708502,7379920
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic1,3,0.01,0.9,5,7708502,7297783
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic2,4,0.01,0.9,3,20680183,19490479
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic2,4,0.01,0.9,4,20680183,18487339
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic2,4,0.01,0.9,5,20680183,18184015
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic3,4,0.1,0.9,3,7806182,5628749
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic4,4,0.1,0.9,3,7204172,3535394
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic5,4,0.1,0.9,3,5196125,3913885
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic3,4,0.1,0.9,4,7806182,3726872
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic4,4,0.1,0.9,4,7204172,2558513
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic5,4,0.1,0.9,4,5196125,3385432
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic3,4,0.1,0.9,5,7806182,3746294
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic4,4,0.1,0.9,5,7204172,2567348
Best-OpenCV-Settings,Category-NA,False,20,360p,Traffic5,4,0.1,0.9,5,5196125,3405038
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic1,3,0.01,0.9,3,12242792,11494961
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic1,3,0.01,0.9,4,12242792,11355782
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic1,3,0.01,0.9,5,12242792,11215406
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic4,3,0.1,0.9,4,11127035,4200177
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic2,4,0.01,0.9,3,37820128,33297701
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic2,4,0.01,0.9,4,37820128,31560199
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic2,4,0.01,0.9,5,37820128,30942982
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic3,4,0.1,0.9,3,12558393,9739127
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic4,4,0.1,0.9,3,11127035,6241250
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic5,4,0.1,0.9,3,8120337,6193838
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic3,4,0.1,0.9,4,12558393,6224186
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic5,4,0.1,0.9,4,8120337,5323751
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic3,4,0.1,0.9,5,12558393,6285818
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic4,4,0.1,0.9,5,11127035,4102115
Best-OpenCV-Settings,Category-NA,False,20,480p,Traffic5,4,0.1,0.9,5,8120337,5353188
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic3,2,0.1,0.9,4,771679,374346
Best-OpenCV-Settings,Category-NA,False,30,120p,Traffic4,2,0.1,0.9,4,772620,262119
